	CodigoMatricula	AreaPrograma	Cargo	NombrePais	VersionPrograma	Modalidad
4272	9452176A22826	Proyectos	Gerente de Área/Unidad	Perú	Basica	Online Asincronica
4273	36077A22826	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4274	10082589A22826	Proyectos	Jefe	Perú	Basica	Online Asincronica
4275	9727807A22826	Proyectos	Asistente	Perú	Basica	Online Asincronica
4276	33938A22826	Proyectos	Gerente de Área/Unidad	Perú	Basica	Online Asincronica
4277	5749A20960	Proyectos	Analista	Perú	Basica	Online Asincronica
4278	10349569A22826	Proyectos	Asistente	Perú	Basica	Online Asincronica
4279	10397191A22826	Proyectos		Perú	Basica	Online Asincronica
4280	10397193A22826	Proyectos		Perú	Basica	Online Asincronica
4281	10397195A22826	Proyectos		Perú	Basica	Online Asincronica
4282	10180472A22826	Proyectos	Analista	Perú	Basica	Online Asincronica
4283	10091768A22826	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4284	10345705A22826	Proyectos	Analista	Perú	Basica	Online Asincronica
4285	10223469A22826	Proyectos	Gerente General/ Apoderado	Perú	Basica	Online Asincronica
4286	10189954A22826	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4287	10341721A22826	Proyectos	Funcionario Publico	Perú	Basica	Online Asincronica
4288	9830073A22826	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4289	10329019A22826	Proyectos	Estudiante	Perú	Basica	Online Asincronica
4290	10442254A22826	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4291	10277910A22826	Proyectos	Practicante	Perú	Basica	Online Asincronica
4292	247524A22826	Proyectos	Gerente General/ Apoderado	Perú	Basica	Online Asincronica
4293	9912686A22826	Proyectos	Jefe	Perú	Basica	Online Asincronica
4294	10285048A22826	Proyectos	Asistente	Perú	Basica	Online Asincronica
4295	10338004A22826	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4296	10120010A22826	Proyectos	Jefe	Perú	Basica	Online Asincronica
4297	10476520A22826	Proyectos	Coordinador	Perú	Basica	Online Asincronica
4298	10495259A22826	Proyectos	Asistente	Perú	Basica	Online Asincronica
4299	10430734A22826	Proyectos	Otros	Perú	Basica	Online Asincronica
4300	10489131A22826	Proyectos	Gerente General/ Apoderado	Perú	Basica	Online Asincronica
4301	10518038A22826	Proyectos	Jefe	Perú	Basica	Online Asincronica
4302	10523123A22826	Proyectos	Consultor	Perú	Basica	Online Asincronica
